time=2026-09-24T15:43:59.838+08:00 level=INFO msg="no upstream keys yet; open the panel and add them, /healthz stays 503 until then"
time=2026-09-24T15:50:32.421+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:32.422+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:32.422+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:34.156+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:34.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:34.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:34.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:34.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:34.160+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:37.733+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:37.816+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:37.816+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:37.816+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:37.816+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:37.856+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:39.164+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:39.166+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:39.166+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4124 took=0s
